,Occupation,Arm.Hand.Steadiness,Auditory.Attention,Category.Flexibility,Control.Precision,Deductive.Reasoning,Depth.Perception,Dynamic.Flexibility,Dynamic.Strength,Explosive.Strength,Extent.Flexibility,Far.Vision,Finger.Dexterity,Flexibility.of.Closure,Fluency.of.Ideas,Glare.Sensitivity,Gross.Body.Coordination,Gross.Body.Equilibrium,Hearing.Sensitivity,Inductive.Reasoning,Information.Ordering,Manual.Dexterity,Mathematical.Reasoning,Memorization,Multilimb.Coordination,Near.Vision,Night.Vision,Number.Facility,Oral.Comprehension,Oral.Expression,Originality,Perceptual.Speed,Peripheral.Vision,Problem.Sensitivity,Rate.Control,Reaction.Time,Response.Orientation,Selective.Attention,Sound.Localization,Spatial.Orientation,Speech.Clarity,Speech.Recognition,Speed.of.Closure,Speed.of.Limb.Movement,Stamina,Static.Strength,Time.Sharing,Trunk.Strength,Visual.Color.Discrimination,Visualization,Wrist.Finger.Speed,Written.Comprehension,Written.Expression,Administration.and.Management,Biology,Building.and.Construction,Chemistry,Clerical,Communications.and.Media,Computers.and.Electronics,Customer.and.Personal.Service,Design,Economics.and.Accounting,Education.and.Training,Engineering.and.Technology,English.Language,Fine.Arts,Food.Production,Foreign.Language,Geography,History.and.Archeology,Law.and.Government,MathematicsKnowledge,Mechanical,Medicine.and.Dentistry,Personnel.and.Human.Resources,Philosophy.and.Theology,Physics,Production.and.Processing,Psychology,Public.Safety.and.Security,Sales.and.Marketing,Sociology.and.Anthropology,Telecommunications,Therapy.and.Counseling,Transportation,Active.Learning,Active.Listening,Complex.Problem.Solving,Coordination,Critical.Thinking,Equipment.Maintenance,Equipment.Selection,Installation,Instructing,Judgment.and.Decision.Making,Learning.Strategies,Management.of.Financial.Resources,Management.of.Material.Resources,Management.of.Personnel.Resources,MathematicsSkill,Monitoring,Negotiation,Operation.and.Control,Operation.Monitoring,Operations.Analysis,Persuasion,Programming,Quality.Control.Analysis,Reading.Comprehension,Repairing,Science,Service.Orientation,Social.Perceptiveness,Speaking,Systems.Analysis,Systems.Evaluation,Technology.Design,Time.Management,Troubleshooting,Writing,Job.Zone,Career.Cluster,Career.Cluster.Abbrev
118,Cartographers and Photogrammetrists,2.75,2,3.62,2.88,3.88,2,0,0.62,0,0.75,3.5,2.88,3.5,3,0,0,0,1.5,4,3.5,2,3,2.88,0.25,4.12,0,3.12,4.12,4,3,3,0,3.38,0,0.12,0.12,2.88,0,0.62,3,3.12,2.88,0,0,0,2.62,1.38,3,3.38,0.62,4.12,3.88,3.33,0.89,1.33,0.06,3.6,2.89,4.92,3.06,4.27,0.87,3.95,2.99,4.11,0.01,0.01,0.56,6.25,1.25,2.52,4.25,1.07,0,2.38,0.49,1.49,2.67,0.89,1.46,0.89,0.57,1.75,0.54,2.15,3.38,3.5,3.12,3,3.75,0.5,1,0,3,3.12,3,0.75,0.62,2.12,3.12,3.12,2.12,0.38,1.75,0.75,2.12,1.12,2.12,4.12,0.38,1.5,2.75,2.88,3.12,2.88,2.75,0.75,3.12,1.38,3.62,4,"Science, Technology, Engineering & Mathematics",SciEng
119,Cashiers,2.12,0.88,2.88,2.12,2.75,1.5,0.25,1.25,0.75,2.25,2.12,2.25,2.12,2.12,0,1.88,1.25,2,2.88,2.88,2.12,2.25,2.25,2,3.25,0,2.38,3.88,3.25,2.12,2.12,0,2.75,1,1,1.12,2.75,0,0,3,3,2.12,0.38,1.88,2,2.62,2.62,2,1.5,1.88,2.88,2.75,2.65,0.05,0.47,1.26,2.97,1.24,2.2,4.63,0.49,1.49,2.33,0.74,2.61,0.25,0.96,0.77,0.44,0.24,1.07,3.03,1.02,0.83,2.02,0.68,0.02,1.88,1.33,1.6,2.74,0.88,0.88,0.68,1.13,2.25,2.88,2.12,2.62,2.62,0,0,0,2.25,2.12,2.12,0.5,0.5,2.38,2.25,2.5,2.12,1.38,1.62,0.25,2.12,0.12,0.75,2.62,0,0,2.75,2.62,2.88,2,1.75,0,2.62,0.5,2.38,2,Marketing,Marketing
120,Cement Masons and Concrete Finishers,3,2.25,2.5,3.12,2.62,2.75,1.25,3,1.38,3.5,3,2.88,2.75,2.12,2.12,2.75,2.25,2,2.38,2.88,3.38,1.88,1.5,3.25,3.5,1,2,3,2.88,2,2.88,1.38,2.75,2.38,3,2.25,2.75,0.88,1.88,2.12,2.62,1.75,2.75,2.88,4,2.38,4.25,2.25,3.25,2.25,2,1.88,1.97,1.25,3.52,2.01,1.34,1.21,1,2.19,2.32,1.13,2.51,0.87,3.13,0.42,0.8,1.62,0.97,0.98,1.33,2.93,2.64,0.76,1.12,0.41,1.38,2.2,1.23,3.09,0.86,1.35,1.64,1.42,1.91,1.75,2.25,2.62,3.25,2.38,1.25,1.62,0.38,2,2.12,2,0.88,1.12,2.12,2.75,2.88,1.5,2.75,2.38,0.38,1.62,0.12,2.75,1.88,1.12,0.25,1.62,1.88,2,1.62,1.62,0.75,2.75,1.75,1.88,1,Architecture & Construction,ArchitCons
121,Chefs and Head Cooks,3,2.5,3.12,2.38,3.75,1.75,0.25,1.75,0.12,2.88,2.75,2.88,2.88,3.12,0.5,1.88,0.75,2,3.38,3.25,3,3,2.38,2.12,3.25,0,3,4,4,3.38,3,0,3.75,1.38,1.75,1.62,3,0,0,3.12,3.25,2.12,1.75,2,2,2.88,3,2.88,3,2.12,3.38,3.38,4.19,1.33,1.41,3.15,2.96,2.22,2.96,4.04,2.65,2.3,4.37,1.63,3.33,1.31,4.65,2.15,2.11,1.16,1.96,3.85,2.07,0.78,3.81,1.52,1.44,4.42,2.85,3.3,3.3,1.44,1.3,1.78,1.85,3.5,3.5,3,4,3.88,1.38,1.75,0,3.25,3,3.38,3.12,3.25,3.75,2.88,4,3.5,2,2.75,2.25,3.5,0.25,2.75,3.38,0.62,0.62,3.38,3.75,3.88,2.88,2.88,0.88,3.62,1.75,3.12,3,Hospitality & Tourism,HospTour
122,Chemical Engineers,1.12,2.5,4.88,1,4.88,2,0,0,0,0,3.75,1.88,3.88,3.88,0,0,0,2.12,4.62,4.62,0.12,4.25,2.75,0,4.12,0,4.12,5,4.38,4.12,3.62,0,4.62,1,1.25,0,3.38,0,0.25,3.12,3.75,3,0,0,0,2.38,0.88,3.5,3.75,1,5,4.12,3.68,3.41,3.18,6.32,2.41,2.23,5.32,2.91,5.91,3.18,3.73,6.55,3.95,0.19,1.59,1.73,2.62,0.68,3.14,5.86,4.32,0.95,2.73,0.14,5.77,5,1.41,3.59,2.77,0.41,1.36,0.77,1.95,4.5,4,4.38,3.62,4.88,0,2.38,0,3.38,4.5,3.62,2.75,2.88,3.5,4.62,3.88,3,1.62,3.5,4.5,3.12,2.88,3.62,4.38,0,5.12,3,3.12,3.88,4,4.25,3.12,3.75,3.5,3.88,4,"Science, Technology, Engineering & Mathematics",SciEng
123,Chemical Equipment Operators and Tenders,3,3.25,3.75,3.5,3.12,3,0.25,1.88,1,2.75,3.12,3,3.12,2.5,1.62,2,2.25,2.5,3.12,3.5,3,2.12,2.25,3.5,3.62,0.88,2.5,4,3.88,2.25,3.88,1.38,3.88,3.12,3.38,2.88,3.5,0.88,1.75,2.88,2.88,2.75,1.75,1.88,2.75,2.75,2.62,2.88,3.12,1.88,3.62,3.12,3.92,1.37,2.23,4.79,3.51,1.4,4.41,2.47,3.07,1.21,3.9,4.07,3.52,0.25,1.18,0.38,0.31,0.19,3.18,3.84,4.5,0.71,2.93,0.19,2.84,5.06,1.86,2.99,1.5,0.78,1.95,0.93,2.88,2.88,3.12,2.88,3.12,3.12,2.62,2.12,0,2.62,3,2.5,0.5,1.12,2.38,2.88,3.12,1.62,3.88,3.88,1.75,1.88,0.62,3.12,3.38,2.25,2.12,2.25,2.62,3,2.62,2.5,0.75,2.88,2.75,3,2,Manufacturing,Manu
124,Chemical Plant and System Operators,3.12,3.38,3,3.75,3.75,2.12,0,2.12,1,2.75,3.5,3.12,3,2.12,1.75,2,2.25,2.75,3.62,3.62,3,2.62,2.62,2.88,3.75,0.62,2.88,3.75,3.88,2.12,3.62,0.75,3.75,2.75,3.5,2.12,3.75,1,1.12,3.12,3.12,3,1.25,1.88,2.5,2.88,2.75,2.75,2.88,2.25,3.62,3,2.03,0.91,0.98,4.31,1.57,0.97,2.53,2.86,1.53,0.52,2.7,1.89,3.28,0.01,0.07,0.06,0.25,0.31,1.18,2.83,4.07,0.61,1.95,0.91,2.3,2.94,1.12,2.74,1.48,0.6,0.42,0.39,1.39,3,3.75,3.12,2.75,3.75,2.75,2,0,2.62,3,2.88,1.12,1.38,2.75,2.88,3.75,2.12,3.88,4.5,2,2.12,1,3.5,3.75,2.75,2.88,2.12,2.62,3.12,2.5,2.75,0,3,2.62,3,2,Manufacturing,Manu
125,Chemical Technicians,3,2,3.75,3.12,3.75,2.12,0,1.5,0,1.88,3,3.12,3.12,3,0,1.88,1.25,2.25,3.75,3.88,2.88,3,2.88,2.75,4,0,3,4,4,3,3.12,0,3.88,2.12,2,1.5,3,0,0.12,3,3,2.62,1.62,1.88,1.75,2.5,2,3.12,3,1.88,4,3.75,0.64,1.07,0.74,4.61,1.29,0.75,2.78,1.81,0.89,0.35,2.3,1.89,3.01,0,1.09,0.01,0.22,0,1.11,3.45,2.08,0.1,0.9,0.01,2.03,2.26,0.19,1.85,0.34,0.14,0.38,0.02,0.94,3.12,3.88,3.12,3,4,2.75,2.88,0.25,3.25,3.25,3,1.25,1.62,2.62,3,3.75,2.62,2.75,3.12,2.75,2.25,0.62,3.25,4,2.75,3.88,2.88,3,3.38,2.88,3,1.38,3.12,2.75,3.75,3,Manufacturing,Manu
126,"Chemistry Teachers, Postsecondary",0.88,1.62,4,0,4.5,1.25,0,0,0,0,2.88,2.12,2.75,3.5,0,0,0,1,4.5,3.75,0.88,3.62,3.12,0,3.88,0,3,5.5,5.5,3.62,2.38,0,3.75,0,0,0,2.88,0,0,4.75,3.5,2.25,0,0,0,2.5,2,2,2.75,0,5.25,5,3.36,4.29,1.55,6.66,3.32,3,4.6,3.35,2.46,1.27,5.85,3.58,4.96,0.93,0.81,1.59,1.67,1.42,1.56,5.65,2.89,2.27,2.89,1.25,4.74,1.16,2.53,2.67,1.12,1.13,0.93,1.77,0.91,4.38,4.25,4,3,4.38,0.12,0.88,0,4.5,3.88,4.25,1.62,1.88,2.88,3.5,4.12,2.12,0.25,1.62,3,2.75,1,2.25,5.12,0,4.5,3,3.12,5,3.25,3.38,0.62,3.5,0.88,4.88,5,Education & Training,EduTrain
127,Chemists,3.12,2.62,4.25,2.62,4.5,2.38,0,1,0,1.12,3.25,3.12,3.38,3.88,0,0.88,0.75,2.75,4.5,4.12,2.5,4.12,2.88,2.12,4.12,0,4.12,5.12,4.88,3.5,3,0,4,0.88,1.25,1.5,3,0.12,0.12,3.5,3.5,3,0.12,0.88,1.62,2.38,2,3.75,3.62,1.38,4.88,4.5,2.74,2.41,1.12,6.1,3.55,1.93,3.72,3.58,1.63,1.29,3.8,3.83,3.29,0.03,0.14,0.96,1.08,0.18,2.45,4.77,3.37,0.68,1.77,0.18,2.58,3.85,1.52,2.46,1.38,0.51,0.95,0.32,1.45,4.12,3.75,4,3.12,4.12,2.62,2.62,0,3.62,3.38,3.12,1.75,2.12,2.75,4.38,3.75,2.38,2.5,3.12,2.88,2.62,1.75,3.25,5,2.5,5.12,2.62,2.88,4,3.12,3.25,1.5,2.88,2.62,4.75,4,"Science, Technology, Engineering & Mathematics",SciEng
128,Chief Executives,0,2.12,4.12,1.12,5,1.5,0,0,0,0,3.12,2,3.5,4.62,0,0,0,1.5,5,4,0,3.88,3.12,0.88,4.5,0,4.12,4.88,5,4.25,2.88,0,5,0,0,0,3.12,0,0.12,4.88,4.62,3.38,0,0,0,2.88,0,1.62,3.88,0,4.62,4.62,6.23,0.56,2,0.95,3.5,3.35,2.54,5.55,2.04,4.36,4.45,1.59,4.56,0.87,0.29,0.78,1.29,1.09,4,4.23,1.05,0.73,5.02,1.82,0.41,2.92,3.94,3.61,3.9,2.99,1.59,2.5,1.91,4.75,4.88,5,5.12,4.75,0,0.62,0,3.88,5.75,3.88,5.5,4.75,5.38,3.62,5.5,4.62,1.5,1.62,4.25,5,0.62,1,4.75,0,1.12,3.38,4.25,4.88,5.38,5.12,0.75,4.75,0,4.38,5,Business Management & Administration,BusinManAdmin
129,Chief Sustainability Officers,0,1.62,3.62,1.25,4.5,1.88,0,0,0,0,2.75,2,3,4.12,0,0,0,1.5,4.25,3.62,0,3.25,2.5,1,3.5,0,3.25,4.5,4.62,4,2.38,0,4.25,0.25,0.38,0.12,2.75,0.12,0.25,3.62,3.62,2.62,0,0,0,2.38,0.25,1.62,3.12,0.12,4.38,4.38,4.72,3.08,4.32,3.04,3.64,2.92,3.68,4.92,4.8,3.6,5.19,4.2,4.48,0.96,1.36,0.88,3.81,1.88,3.08,4.15,2.76,0.54,4.08,2.42,2.96,2.35,3.24,3.38,4.84,3.36,0.81,0.54,2.48,3.75,4.12,4.25,3.75,4.12,0,0.5,0,3.38,3.75,3.5,3.38,2.62,3.75,3.38,4.12,3.25,1.25,2.12,3.38,3.88,0.88,2.12,4.25,0,1.5,3.38,3.62,4.25,3.88,3.75,1,3.5,0.12,4.38,5,Business Management & Administration,BusinManAdmin
130,"Child, Family, and School Social Workers",1.12,2.12,3.25,1,3.88,1.12,0,1.12,0.88,0.62,2.88,1.25,2.88,3.38,0.62,1.12,0.75,1.88,3.88,3.38,0.12,2.38,2.62,1.75,3.62,0.62,2,4.12,4.12,3.38,2.62,0.62,4.38,0.62,1.25,1.12,3,0.5,0.75,3.88,4,2.75,0.12,1.25,1.5,2.75,2,2,2,0.62,4.12,4,3.43,1.49,0.34,1.11,4.81,2.52,3.54,5.21,0.54,1.77,4.27,0.65,4.12,0.95,0.19,2.64,1.71,1.51,3.09,2.32,0.51,1.84,2.24,2.68,0.55,1.08,5.04,2.7,2.37,3.9,1.17,5.13,1.55,3.75,4.75,3.5,3.88,4.25,0,0,0,3.25,4,3.12,0.38,0.38,3,1.88,3.88,4,1.62,2,3,3.88,0.5,1,4.12,0,2,4.12,4.62,4.12,3,3.12,0.62,3.88,0.62,4.12,4,Human Services,HumServ
131,Childcare Workers,2.62,2.25,2.88,0,3,1.38,0.25,1.75,0.62,2.62,3,2.38,2.88,3,0,2,1.88,2,3,3,2,1.88,2.62,2,3,0,1.88,3.75,3.5,2.88,2.38,0,3.38,0,0.25,0.12,3.12,0.12,0.25,3,3.12,2.75,0.88,2.12,2.25,2.88,2.25,2.38,2.62,0.5,3.12,3,2.05,0.76,0.34,1.37,2.15,1.51,2.3,3.95,0.55,0.93,2.98,0.76,2.7,0.73,1.41,0.7,1.05,0.75,1.14,1.79,0.22,1.36,1.47,1.56,0.23,0.78,2.63,2.22,1.5,1.8,0.48,1.44,0.46,3,3,2.88,3,3,0,0,0,2.88,3,3.12,0,0.25,2.12,1.88,3.12,2.62,0,1.5,0.12,2.88,0,1.88,3,0,0.12,3.25,3.25,3,2.12,2.25,0.88,2.88,1.12,2.88,2,Human Services,HumServ
132,Chiropractors,3,1.75,3.88,2.75,4.38,1.88,0,2.25,0.5,3.12,2.12,3,3.25,3.12,0,2.12,1.5,1.75,4.38,3.88,3,2.75,2.75,3,3.12,0,2.75,4.75,4.25,3.12,2.88,0,4.75,0.75,1.5,1.88,2.88,0,0,3.38,3.62,3.12,1.12,2,3,2.62,3,1.5,3,1.75,4.25,4,3.89,4.44,0.28,2.72,4.49,2.46,4.35,5.43,1.96,3.08,4.63,2.05,4.45,0.35,0.26,1.52,1.46,1.29,2.75,3.4,2.15,4.35,3.86,2.71,1.89,1.63,4.85,2.59,4.25,3.31,1.25,4.22,0.68,3.88,4.12,3.62,3.38,4.12,0,0,0,3.12,3.62,3.12,1.5,1.75,2.88,2.5,3.38,2.5,1.75,1.62,2.25,3.25,0.5,1.88,4.5,0,3.75,3.75,3.88,3.88,3.12,3.25,0.75,3.25,0.62,3.88,5,Health Science,HealthSci
133,Choreographers,3,2.38,3.12,0,3.5,1.38,2.88,3.88,1.75,4.12,3.12,2,2.75,4,0.25,5.25,4.38,2,3.25,3.38,2,1.25,3.12,3.88,3.12,0.12,1.38,4,4.25,4.25,2.5,1.12,3.62,0.25,0.62,1.25,3,0,1.88,3.88,3.12,2.25,2.88,3.88,2.38,2.88,3.88,1.88,3.62,0.75,3.38,3.12,3.57,1.14,1,0.1,2.86,3.6,3,3.14,3.2,1.76,4.43,0.76,3.43,6.33,0,1.48,2.2,3,1.29,2.24,0.67,1.71,2.9,3.14,1.76,1.86,3.24,0.95,3.24,3.43,0.81,1.71,1.45,3.25,3.88,3.12,4,3.5,0,0,0,4.25,3.12,3.38,0.75,1.12,3.5,1,3.62,2.88,0,0.5,2.88,3,0.25,0.62,3.25,0,0.5,3.12,3.75,4,2.75,2.75,0.88,3.38,0,3,4,"Arts, Audio/Video Technology & Communications",ArtAVComm
134,City and Regional Planning Aides,0,1.12,3,1.62,3.38,2.12,0,0,0,0,2.75,2,2.62,3,0,0,0,1.25,3.25,3.12,0,2.62,1.75,1.25,3.5,0,3.12,4.25,4,3.38,2.38,0,3.5,0,0,0,2.88,0,0,3.12,3.25,2.12,0,0,0,2.62,0.25,1.62,2.75,0,3.75,3.62,3.5,1.8,3.2,0.7,3.65,3.1,3.55,5.1,4.15,2.1,3,2.6,4.79,0.8,0.3,1.16,5.5,3.25,4.1,4.3,0.7,0.37,2.15,1.7,1.35,0.9,1.75,3.1,1.65,2.9,1.2,0.53,2.85,3.12,3.75,3.12,3.12,3.5,0,0,0,2.75,3.25,2.38,1.25,1.25,2.5,2.88,3.25,3.12,1.62,1.62,2.25,2.75,0.5,0.25,3.75,0,2.38,3.12,3,3.75,3.12,2.88,0.5,3.38,0,3.62,4,"Science, Technology, Engineering & Mathematics",SciEng
135,Civil Drafters,2,1.5,3.62,1.88,3.12,1.5,0,0.38,0,0,2.88,2.38,3.12,2.88,0,0,0,1.62,3.12,3.75,1.88,3,2,0,3.62,0,3.12,3.88,3.88,3,2.38,0,3.12,0,0,0,3.12,0,0.12,3,3.12,2.12,0,0,0,2.38,0.75,2.25,3.75,0,4,3.75,2.71,1.19,4.76,1.48,3.48,1.67,4.67,2.95,6.19,1.24,2.71,5.38,4.24,0.29,0.19,0.62,4.62,0.76,1.71,4.76,2.43,0,1.43,0.38,3,2,0.95,2.57,1.24,0.57,1.24,0,2.57,2.88,3.25,3.12,2.75,3.38,0,0.12,0,2.88,3,2.88,1.12,1,2.75,3.62,3,2.38,0,2.12,3,2.5,1.12,2.5,3.88,0,2.25,2.5,2.75,3.12,3,3,1,3,0.5,3.38,3,Architecture & Construction,ArchitCons
136,Civil Engineering Technicians,1.88,2.12,3.5,2,4,1.88,0,0.5,0,0,3.25,2.38,3.12,3.12,0.5,0,0,2.12,3.75,3.88,1.88,3.75,2.5,1.25,3.88,0.62,3.38,4.12,4,2.88,2.88,0.38,3.88,0.62,1.12,0.75,3,0.38,1.12,3.12,3.25,2.88,0,0,0,2.62,1.12,2.38,4,0.88,4,4,3.9,1.81,4.74,2.94,4.25,1.79,4.43,4.3,4.92,1.63,3.17,5.07,3.84,0.54,0,0.67,3.34,1.25,3.48,4.93,4.11,0.56,2.81,0.37,3.48,2.18,1.74,3.5,1.01,0.75,1.86,0.81,3.37,3,4,3.25,3,3.62,0,0.25,0,2.38,3.12,2.62,1.62,2,2.25,3.38,3.38,2.75,2,2.38,3,2.38,1,2,4.12,0,2.62,2.62,2.88,3.5,3,2.75,0.75,2.88,0.88,3.5,3,Architecture & Construction,ArchitCons
137,Civil Engineers,0.25,2.75,4.25,1.62,4.75,2.75,0,0,0,0,3.75,2.25,3.88,4,0.12,0,0,2.5,4.12,4,0.25,4.88,3,1,4,0,4.38,5,5,4,3.62,0.25,4.88,0,0,0,3.12,0.25,1.62,3.62,3.75,3.62,0,0,0,2.75,0.12,3,4.12,0,5,4,5.05,1.39,5.87,3.48,3.32,2.77,4.22,4.52,5.7,3.82,4.18,6.3,4.95,0.43,0,1,2.91,1.35,4.18,5.22,3.52,0.23,3.74,1.09,4.61,2.26,2.87,3.91,3.59,1.48,1.73,0.55,3.17,4.5,4,4.12,4,4.5,1.5,0.5,0,3.25,4.12,3.75,3.62,3.12,3.75,4.88,4.12,3.25,0.38,2.12,4.62,3.38,2,2.75,4.75,2.5,4,3,3.75,4,4.25,4.12,2.25,4,0.5,4,4,Architecture & Construction,ArchitCons
138,"Claims Examiners, Property and Casualty Insurance",1.25,1.88,3.25,0.62,3.75,1.25,0,0,0,0,2.75,2.25,2.75,2.75,0,0,0,1.75,4,3.62,1.12,2.88,2.75,0,3.38,0,2.75,4.25,4.12,2.75,2.62,0,3.5,0,0,0,3,0,0.25,3.12,3.38,2.5,0,0,0,2.75,0.5,2.12,2.25,0,4,3.75,3.73,0.57,2.64,1.15,3.53,2.47,3.47,5.41,1.42,2.02,3.14,0.74,4.25,0.11,0.22,0.86,1.01,0.5,3.76,3.56,1.92,1.61,1.66,1.24,0.85,1.55,2.53,2.16,1.51,1.55,1.26,1.45,1.62,3.38,3.88,3.12,3.12,4,0,0,0,3,3.5,3,1.75,1.38,2.5,2.88,3.25,3.62,0.25,2,0.12,3.38,0.62,1.62,4.12,0,0,3.38,3.38,3.75,2.62,2.5,0.38,2.88,0.75,3.75,4,Finance,Fin
139,Cleaners of Vehicles and Equipment,2.5,1,2.12,3,2.25,2.5,0.25,2,0,3.12,2.38,2.25,1.25,1,1.12,2.38,0.88,0.25,2.25,2.25,2.75,0.5,1,3,3,0.75,0.88,2.75,2.38,0.62,1.38,0.62,2.25,1.88,2,1.75,2.12,0.25,1.25,2.25,2.38,1.12,1.5,2.12,1.88,1.5,2.88,1.75,1.88,1.25,2,1,2.75,0.7,1.22,2.2,1.96,1.59,1.4,2.98,0.98,1.63,2.9,1.79,2.41,0.59,0.37,0.64,0.94,0.57,1.21,1.59,2.48,0.73,1.96,0.77,1.42,2.42,1.46,2.25,1.7,0.89,1.15,0.81,2.78,1.88,2.12,1.62,2.12,2.38,1.88,2.12,0.5,1.12,1.75,0.75,0,0.75,1,0.38,2.38,0.88,2.88,3,0.25,1.12,0,2.62,2,1.75,0.12,1.62,2,2.12,1,0.38,0,2.25,1.5,0.5,2,"Transportation, Distribution & Logistics",TransLog
140,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",3,2.88,2.75,3,2.38,2.12,0.12,2,0.88,3,2.38,2.88,2.25,2,1.62,2.25,1.88,2.25,2.38,2.75,2.88,1.38,1.75,2.88,3.12,0.88,1.38,2.88,2.38,1.5,3,0.75,2.5,1.75,2.62,2.12,2.75,0.75,0.88,2.5,2.25,2,1.75,2.25,2.62,2.25,3,2.12,2.38,1.88,2.5,2.12,2.34,1.05,0.5,2.28,0.66,0.33,0.82,1.73,0.52,0.35,2.25,2.05,2.61,0.09,1.31,0.75,0.62,0.2,0.41,2.05,2.8,0.75,1.13,0.22,1.31,3.45,3.11,1.42,0.46,0.59,0.29,0.4,0.46,2.12,2.38,2.12,2.12,2.12,1.75,1.25,0,2,2.12,2.12,0.25,0.38,2,1.12,3,2,3,2.88,0.38,2,0.12,2.25,2.25,1.12,0.62,2,2.12,2.25,1.5,1.88,0,2.5,2.12,2.38,2,Manufacturing,Manu
141,Clergy,0.62,1.88,3.5,0.75,4,0.38,0,0,0,0,3.12,1.25,2.75,3.88,0.25,0,0,1.62,3.88,3.75,0.5,2.62,3.88,0.75,3.75,0.38,3.12,4.38,4.88,3.75,2.62,0.25,4.5,0.12,0.25,0.5,3,0.25,0.38,5.5,4.62,3,0.25,0,0,3.12,2.12,1.62,2.38,0.62,4.25,4.25,4.16,0.35,1.38,0.24,3.08,3.51,3.64,4.16,0.88,2.33,4.9,0.95,4.87,2.36,0.74,2,2.69,4.14,3.07,1.77,1.48,0.78,4.04,6.56,0.15,1.27,4.76,2.38,3.42,3.99,1.47,5.3,1.38,4.12,4.5,3.75,4,4.12,0,0,0,3.88,4,4.25,3.38,3.12,3.88,2.5,4.12,3.88,1.25,1.38,0.88,4.38,0.5,0.38,4.75,0,0.88,4.25,5.38,4.75,2.88,3.88,0.5,3.62,0,4.38,5,Human Services,HumServ
142,Climate Change Analysts,0,1,3.38,0,4.12,0.88,0,0,0,0,2.88,1.12,3.25,3,0,0,0,1.38,4.12,3.62,0,3.25,2.62,0,3.38,0,3.12,4.25,4.12,3.5,2.25,0,3.88,0,0,0,3.12,0,0,3.88,3.5,2.62,0,0,0,2.62,0,2,2.75,0,4.38,4.38,3.71,3.5,1,2.68,3.04,3.21,3.68,2.29,0.79,3.41,3.68,3.07,4.78,0.11,0.32,1.5,4.86,2.86,4.32,4.43,0.41,0.46,2.64,2.46,3.04,0.71,2.5,1,2.71,3,0.75,0.11,2.11,4.12,3.88,4,2.88,4.25,0,0.5,0,3.38,3.88,3.38,1.88,1.75,2.75,3.25,3.5,3.12,0,1,2,3.62,1,0.75,4.38,0,2.5,3.12,3.5,4.25,3.88,3.88,1.12,3.62,0,4.25,5,"Science, Technology, Engineering & Mathematics",SciEng
143,Clinical Data Managers,0.38,0.88,3.88,0.25,4.25,0.38,0,0.38,0,0,2.5,1.62,3.25,3.5,0,0,0,1,3.88,4,0.38,3.62,2.62,0,3.62,0,3.25,4.25,4.12,3.38,3,0,3.88,0,0,0,3,0,0,3.38,3.38,2.75,0,0,0,1.75,0.88,0.88,2.12,0.88,4.25,4.12,3.65,2.9,0.6,0.95,3.7,1.7,4.75,4.3,2.1,0.9,4,2.2,4.35,0,0,0.55,1.05,0.1,2.15,3.85,0.7,2.75,2.2,0.45,0.35,1.45,1.65,1.85,1.25,1.05,1,0.95,0.35,4,3.88,3.62,3.38,4.25,0,1.5,0,3.75,3.62,3.25,1.25,1.5,3.38,3.88,4.12,2.38,1.25,2,3.38,2.62,3.62,2.5,4.25,0,2.25,2.62,3.5,4,3.38,3.38,1.38,3.5,0.62,4,4,"Science, Technology, Engineering & Mathematics",SciEng
144,Clinical Nurse Specialists,3,2.62,3.38,2.62,4,2,0,1.75,1.62,2.5,2.88,3,3.25,3.5,0,2,1.75,2.62,4,3.75,2.75,3,2.62,2.62,3.75,0,3,4.38,4.12,3.38,3,0,4.38,1.5,2.12,2.5,3.5,0,0.25,3.88,3.88,3,1.62,2.38,2.62,3,2.5,2.88,2.88,1.88,4.25,4,3.92,4.77,0.19,3.54,3.96,3.54,3.62,5.62,1.58,1.88,6.46,1.77,5.46,0.54,0.2,1.46,1.38,0.85,3.08,4.35,1.77,5.08,3.35,4.27,1.85,1.88,5.85,3.04,2.04,4.69,2.04,4.85,1.08,4,4.38,3.5,3.75,4.12,0,0.38,0.38,3.88,4,3.5,0.5,1.5,3.25,2.88,3.88,3.25,2.12,2.75,3.88,3.62,0.25,2.25,4.25,0,4,4,4,4,3.38,3.38,1.38,3.5,1.25,4,5,Health Science,HealthSci
145,Clinical Psychologists,0,1.38,3.38,0,4.62,0.5,0,0,0,0,2.38,1.5,3.25,3.5,0,0,0,1.12,4.62,3.25,0,1.75,2.38,0,3.38,0,1.75,4.5,4.75,3.62,2.5,0,5,0,0,0,3,0,0,3.62,3.5,2.75,0,0,0,2.38,0.25,0.88,1.88,0,4.62,4.12,3.16,2.18,0,1.47,2.55,2.23,3.44,5.42,0.25,0.75,4.64,0.24,5.19,0.25,0.02,0.71,0.89,1.22,3.29,3.27,0.05,2.84,3.91,3.59,0.11,0.44,6.69,3.01,1.23,3.69,0.78,6.82,0.5,4.12,4.75,4,3.25,4,0,0,0,3.38,3.88,3.75,0.5,0.5,3,1.75,4,3.12,0,0.5,2.75,4,0.25,0.75,4.75,0,3.5,4.12,5.12,4.38,3,3,0.38,3.38,0.5,4.12,5,Human Services,HumServ
